race_id,Track,Driver,Lap Time,Starting Position,finished,aero,Power,grip,reliability,pit time,overtaking,defending,consistency,fuel_mgt,tire_mgt,wet_ability,wet qualifying,win,wet race laps,setup_id,BOOST,pit stops
1304,Japan,Perez,40.726,4,0,63,88,72,60,5.09,57,64,93,58,95,95,TRUE,,TRUE,29,,
1304,Japan,Leclerc,39.013,15,0,63,88,72,60,5.09,67,70,90,100,64,44,TRUE,Yes,TRUE,29,,
1303,China,Perez,39.468,4,1,63,88,72,60,5.09,57,64,93,58,95,95,TRUE,Yes,FALSE,29,,2
1303,China,Leclerc,39.478,12,4,63,88,72,60,5.09,67,70,90,100,64,44,TRUE,Yes,FALSE,29,,2
1302,Australia,Perez,32.583,10,2,63,88,72,60,5.09,57,64,93,58,95,95,FALSE,Yes,FALSE,29,,2
1302,Australia,Leclerc,32.527,6,1,63,88,72,60,5.09,67,70,90,100,64,44,FALSE,Yes,FALSE,29,,2
1301,China,Hulkenberg,37.42,23,18,63,88,72,60,5.09,64,72,24,12,70,61,TRUE,Yes,TRUE,29,,2
1301,China,Verstappen,37.211,21,4,63,88,72,60,5.09,57,37,39,72,15,66,TRUE,Yes,TRUE,29,,2
1300,Japan,Hulkenberg,37.535,13,2,63,88,72,60,5.09,64,72,24,12,70,61,FALSE,Yes,TRUE,29,,1
1300,Japan,Verstappen,37.987,18,7,63,88,72,60,5.09,57,37,39,72,15,66,FALSE,Yes,TRUE,29,,2
1299,Australia,Verstappen,33.389,16,1,63,88,72,60,5.09,57,37,39,72,15,66,FALSE,Yes,FALSE,29,,2
1299,Australia,Hulkenberg,33.697,19,5,63,88,72,60,5.09,64,72,24,12,70,61,FALSE,Yes,FALSE,29,,2
1298,Australia,Hulkenberg,32.81,12,3,63,88,72,60,5.09,64,72,24,12,70,61,FALSE,No,FALSE,29,,2
1298,Australia,Verstappen,33.928,22,6,63,88,72,60,5.09,57,37,39,72,15,66,FALSE,No,FALSE,29,,2
1297,Australia,Verstappen,34.022,22,5,63,88,72,60,5.09,57,37,39,72,15,66,FALSE,Yes,FALSE,29,,2
1297,Australia,Hulkenberg,33.462,16,10,63,88,72,60,5.09,64,72,24,12,70,61,FALSE,Yes,FALSE,29,,2
1296,Japan,Verstappen,37.742,13,8,63,88,72,60,5.09,57,37,39,72,15,66,FALSE,No,FALSE,29,,2
1296,Japan,Hulkenberg,37.398,11,3,63,88,72,60,5.09,64,72,24,12,70,61,FALSE,No,FALSE,29,,2
1295,Japan,Hulkenberg,37.761,16,0,63,88,72,60,5.09,64,72,24,12,70,61,FALSE,No,FALSE,29,,2
1295,Japan,Verstappen,37.904,22,0,63,88,72,60,5.09,57,37,39,72,15,66,FALSE,No,FALSE,29,,
1294,Australia,Verstappen,33.615,18,9,63,88,72,60,5.09,57,37,39,72,15,66,FALSE,Yes,FALSE,29,,2
